Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Beck's Mill (Washington County),Indiana,US-IN,38.532965,-86.159306,1820s-1850s,1820-1829,No,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,The Story of John Williams ,
Beech (Rush County),Indiana,US-IN,39.7425,-85.578611,1830-1833,1830-1839,No,No,N/A,"William F. Gulde (May 1991). ""Rushville's African-American Community: An Historic Overview"". Black History News and Notes. Indianapolis: Indiana Historical Society (44): 4.","Indiana History, Black Settlements Wiki page ",
Bethel,Indiana,US-IN,40.302349,-87.179624,1825,1820-1829,No,No,N/A,Historical Sketches of the Wabash Valley by J. Wesley Whicker (1916).  |  “Pearls along the Wabash: The reminiscenses of Newlin Hoover Yount (1991),"Journal Review, Recapping the Underground Railroad  Indiana History (Fountain Co)  ",
Brownstown (Jackson County),Indiana,US-IN,38.879722,-86.046111,1820s-1850s,1820-1829,Unsure,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,,
Burnett,Indiana,US-IN,39.564713,-87.351047,1835,1830-1839,No,No,N/A,"Shepard, Merle Bullard. ""A history of the Negro schools in Vigo County."" PhD diss., 2015.","Tribestar, Early Black Settlers  Indiana History (Vigo County)",
Cabin Creek,Indiana,US-IN,40.048317,-85.127109,1825,1820-1829,Unsure,No,N/A,"Thornbrough, Emma Lou. The Negro in Indiana Before 1900: A Study of a Minority. Indiana University Press, 1993.",Honors Undergraduate Thesis on Cabin Creek with sources   Indiana History (Randolph County)  ,
Cherry Grove,Indiana,US-IN,38.79131,-87.476272,1840s,1840-1849,No,No,N/A,George P. Stewart Papers - https://indianahistory.org/wp-content/uploads/george-p-stewart-papers.pdf,"Day, Richard. “The Cherry Grove Settlement in Knox County, Indiana.” Traces of Indiana and Midwestern History.  Summer, 2011 Indiana History (Knox County)  ",
Graysville (Jefferson County),Indiana,US-IN,38.757264,-85.473984,1821,1820-1829,Unsure,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,"Indiana History, (Sullivan County)",
Greenville,Indiana,US-IN,40.049623,-84.86161,1882,1880-1889,Unsure,No,N/A,This Far by Faith: Black Hoosier Heritage  ,,
Hanover Township (Jefferson County),Indiana,US-IN,38.714224,-85.473656,1842,1840-1849,No,Yes,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,St. Stephen's African Methodist Episcopal Church National Register Form,
Huggart,Indiana,US-IN,41.549717,-86.318267,1834,1830-1839,No,No,N/A,"Karst, Frederick A. ""A Rural Black Settlement in St. Joseph County, Indiana, before 1900."" The Indiana Magazine of History (1978): 252-267. ","Indiana History, (St. Joseph County)  Indiana Public Media  Michigan Memory Project, Archival info ",
Leatherwood (Parke County),Indiana,US-IN,39.839272,-87.264163,1850,1850-1859,No,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,Indiana History (Parke County)  Tribune Star article  ,
Lick Creek,Indiana,US-IN,38.416721,-86.552908,1832,1830-1839,No,No,N/A,"Robbins, Coy D. Forgotten Hoosiers: African Heritage in Orange County, Indiana. Heritage Books, 1994.  |  LaRoche, Cheryl Janifer. Free Black Communities and the Underground Railroad: The Geography of Resistance. University of Illinois Press, 2013.","Forest Service, Lick Creek archaeology  Hoosier National Forest article  Indiana Connection article  Indiana History (Orange County)  ",Redisovering Lick Creek Youtube 
Lost Creek,Indiana,US-IN,39.48814,-87.295394,1818,1810-1819,Unsure,No,N/A,"Shepard, Merle Bullard. ""A history of the Negro schools in Vigo County."" PhD diss., 2015.  |  Pierce, Richard B. ""Uncertain neighbors: African Americans and Indiana."" Traces of Indiana and Midwestern History 28, no. 4 (2016): 12-22.","Tribestar, Early Black Settlers  Lost Creek Settlement website Robert's Cemetary Tally archive  Indiana History (Vigo County)  Native American Roots Wordpress ",https://www.in.gov/history/images/exSlavesLostCreek.jpg 
Lyles Station,Indiana,US-IN,38.37028,-87.65917,1840s,1840-1849,Yes,No,N/A,"Polk, Arlene Blanks. ""The truth about Joshua Lyeles: a free African American settler of Lyles Station, Indiana."" Traces of Indiana and Midwestern History 25, no. 4 (2013): 32-38.  |  Cox, Anna-lisa. ""200 years of freedom: Charles Grier and the history African American settlement in Gibson County, Indiana."" Traces of Indiana and Midwestern History 25, no. 1 (2013): 34-40.","http://lylesstation.org/ Black Past, Lyles Station  Indiana Landmarks   ",
Newport (Fountain City),Indiana,US-IN,39.954444,-84.92,1834,1830-1839,No,No,N/A,https://www.indianamuseum.org/historic-sites/levi-catharine-coffin-house/,Madion County Historical Society,
Pinkston,Indiana,US-IN,38.232704,-86.923792,1857,1850-1859,No,No,N/A,"Fine, Gary Alan. ""The Pinkston settlement: An historical and social psychological investigation of the contact hypothesis."" Phylon (1960-) 40, no. 3 (1979): 229-242.  ",Indiana History (Dubois County)  https://www.indystar.com/story/news/history/retroindy/2015/02/09/african-american-settlements/23114613/ ,
Richland,Indiana,US-IN,38.984533,-85.609444,1820s/Early-mid 1800s,1820-1829,No,No,N/A,"Cord, Xenia E. “Black Rural Settlements in Indiana before 1860”",Indiana History (Jennings County)  http://www.jenningscounty.org/ ,
Roberts (Settlement),Indiana,US-IN,40.190289,-86.113666,1835,1830-1839,Yes,No,N/A,"Stephen A. Vincent (1999). Southern Seed, Northern Soil: African-American Farm Communities in the Midwest, 1765–1900. Midwestern History and Culture. Bloomington: Indiana University Press.",http://www.robertssettlement.org/ Indiana History (Hamilton County)   YouTube Video  National Register documents for Roberts Chapel ,
Roundtree,Indiana,US-IN,38.394307,-87.55915,1820s-1850s.,1820-1829,No,No,N/A,"https://www.in.gov/history/files/7015.pdf  IN History (Gibson County)  Court Case article from The Indiana Lawyer  The State ex rel. James Roundtree v. the Board of Commissioners of Gibson County, Indiana in ""Reports of Cases Argued and Determined in the Supreme Court of Judicature of the State of Indiana: Volume 80""",,
Rush,Indiana,US-IN,40.520355,-86.24297,1840s (by 1845),1840-1849,No,No,N/A,"IN History (Howard County) . Footprints (Aug 2020) Howard County Historical Society.   Brad Bayliff. Rediscovering Rush Cemetery in Ervin Township Howard County Indiana. August 3, 1995. (Manuscript at the Kokomo-Howard County Public Library. Kokomo, Indiana)   Howard County Historical Society Photo Collection (search AfAm). ",,
Salt Creek Township (Decatur County),Indiana,US-IN,39.416389,-85.236667,1843,1840-1849,No,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,,
Sand Hill,Indiana,US-IN,38.332472,-87.631587,1820s-1850s,1820-1829,No,No,N/A,IN History (Gibson County)  Sand Hill Grave  ,,
Snelling (Decatur County),Indiana,US-IN,39.400278,-85.352778,1822,1820-1829,No,No,N/A,https://www.indianamuseum.org/historic-sites/levi-catharine-coffin-house/,,
Snow Hill,Indiana,US-IN,39.890289,-86.157547,1840s,1840-1849,No,No,N/A,"http://indianahumanities.org/pdf/ThisFarByFaith.pdf Mentioned, along with several others.",,
Underwood,Indiana,US-IN,39.273984,-87.388767,1841,1840-1849,Unsure,No,N/A,"Shepard, Merle Bullard. ""A history of the Negro schools in Vigo County."" PhD diss., 2015.",,
Vallonia (Jackson County),Indiana,US-IN,38.846944,-86.097778,1830s-1870s,1830-1839,No,No,N/A,https://indianahistory.org/research/research-materials/early-black-settlements/early-black-settlements-by-county/,http://npshistory.com/publications/usfs/region/9/hoosier/history/sec1.htm ,
Weaver,Indiana,US-IN,40.422897,-85.735452,1840s,1840-1849,Yes,No,N/A,"Artis, Asenath Peters. “The Negro in Grant County,” in Centennial History of Grant County, 1812-1912, by Roland L. Whitson. Chicago: Lewis Publishing Co., 1914 (348-357).  |  Miller, Jerry, “People of Color: Grant County’s Black Heritage,” Marion (IN) Chronicle-Tribune Magazine, July 9, 1978, pp 6-13",IN History (Grant County)   Weaver Settlement Historical Marker  Historic Black settlement in Grant County receives state recognition news article/video     http://www.freeafricanamericans.com/19th_4.htm  Taylor University article   ,"Marion branch, NAACP  "
Guinea Bottom,Indiana,US-IN,38.2877666,-85.7759894,1802,1800-1809,No,No,N/A,https://publichistory.iupui.edu/items/show/558,,
Buxton,Iowa,US-IA,41.160955,-92.829934,1895,1890-1899,No,No,N/A,"David M. Gradwohl & Nancy M. Osborn, Exploring Buried Buxton (Ames: Iowa University State Press, 1984)  |  Dorothy Schwieder, Buxton (Ames: Iowa State University Press, 1987)  |  Eric A. Smith, Buxton, Iowa: An Experiment in Racial Integration, The Iowa Genealogical Society, Hawkeye Heritage (Vol. 34, Issue 3, Fall 1999)  |  Gray, Phyllis Ann, ""The black middle class in Buxton, Iowa"" (1984). Retrospective Theses and Dissertations. 16866.
https://lib.dr.iastate.edu/rtd/16866",Iowa Culture   Black Past  Documentary on Buxton  NPS National Registery   PBS article  ,
Muchakinock,Iowa,US-IA,41.216245,-92.646103,1880s,1880-1889,No,No,N/A,"Stek, Pam. ""Muchakinock: African Americans and the Making of an Iowa Coal Town."" The Annals of Iowa 68 (2009), 37-63. https://doi.org/10.17077/0003-4827.1345  ",Iowa Heritage   ,
Westfield Township,Iowa,US-IA,42.8625946,-91.8552908,1850s,1850-1859,Unsure,No,N/A,"

Hill, James L. ""Migration of Blacks to Iowa 1820-1960."" The Journal of Negro History 66, no. 4 (1981): 289-303. Accessed May 28, 2021. doi:10.2307/2717237.",Iowa's African American Heritage   ,
Daniel Votaw Colony,Kansas,US-KS,37.03778,-95.62639,1881,1880-1889,No,No,N/A,Legends of Kansas  Topeka Capital Journal  Article on one of the descendants  ,,"Museum social media, website link broken   "
Dunlap Colony,Kansas,US-KS,38.576348,-96.366821,1869,1860-1869,Yes,Yes,1875,"Legends of Kansas, Dunlap  National Register Inventory  Aerial photos  ",,Facebook page  
Hoggs Town (Hogtown),Kansas,US-KS,38.971727,-95.235281,1860s-1870s,1860-1879,No,No,N/A,The Kansas African American Museum. (2015). African Americans of Wichita. Arcadia Publishing,https://web.archive.org/web/20210225053316/https://www.soulofamerica.com/black-towns/kansas/ ,
Juniper Town,Kansas,US-KS,39.03389,-94.64417,1860s-1870s,1860-1879,No,No,N/A,"Lawrence, D. (n.d.). African-Americans migration to Wyandotte County 1860-1900. http://www.pathfinderscience.net/culmig/dissertation97.htm",,
Little Coney Colony,Kansas,US-KS,37.31806,-101.89833,1881,1880-1889,No,No,N/A,"BLAKE, LEE ELLA. ""THE GREAT EXODUS OF 1879 AND 1880 TO KANSAS
B. S., Kansas State College of Agriculture and Applied Science (1928) ","Kansas Historical Society bibliography, no links just finding aids)  ",
Mississippi Town,Kansas,US-KS,39.107465,-94.729232,1887,1880-1889,Unsure,No,N/A,"KHS (mentioned)  NPS, Flowering of Nicodemus  ",,
Morton City,Kansas,US-KS,38.123848,-99.853153,1877 or 1879,1870-1879,No,No,N/A,"Brown, Ted. ""Hardships Endured: The Morton City Settlement 1879-1880."" 2010.   ",Hutch News article on a descendant's reesearch  Kansas Ghost Towns  ,"Bradshaw, Crystal. Eliza: A Generational Journey. (2015).  
"
Mudtown,Kansas,US-KS,39.01917,-95.72167,1860s-1870s,1860-1879,No,No,N/A,"Mudtown Doll, KSHS  Exodusters, KSHS    ",,
Nicodemus,Kansas,US-KS,39.394457,-99.617102,1877,1870-1879,Yes,No,N/A,"Hinger, Charlotte. Nicodemus: Post-Reconstruction Politics and Racial Justice in Western Kansas. Vol. 11. University of Oklahoma Press, 2016.  | McDaniel, Orval L., ""A History of Nicodemus, Graham County, Kansas."" (1950). Master's Theses. 455.  |  Adams, Ashley Adams. ""Examining the cultural and historical impact of the national historic site designation in Nicodemus, Kansas."" (2016).","NPS, ""Flowering of Nicodemus""   Kansas State Historical Society article  NPS article  NPS outline of five sites  Another NPS article  Nico Historical Museum NPS Historic Resource Study  ","Mentioned in ""Four Hundred Souls"" by Ibram X Kendi (p. 244-248)."
Quindaro,Kansas,US-KS,39.12972,-94.67278,1856,1850-1859,No,No,N/A,"Legends of Kansas, Quindaro  Old Quindaro Museum  Kansaspedia  Kansas City Public Library article  Black Past    ",,
Rattlebone Hollow,Kansas,US-KS,39.123362,-94.622419,1879,1870-1879,No,No,N/A,"Lawrence, Dennis. ""African-Americans Migration To Wyandotte County 1860 - 1900""  
  BLAKE, LEE ELLA. ""THE GREAT EXODUS OF 1879 AND 1880 TO KANSAS
B. S., Kansas State College of Agriculture and Applied Science (1928)  ",https://www.kshs.org/kansapedia/exodusters/17162 ,
Redmonsville,Kansas,US-KS,39.04833,-95.67111,1860s or 70s,1860-1869,No,No,N/A,https://biketopeka.com/2020/08/27/suburban-renewal-depopulating-downtown-topeka/,,
Ritchie's Addition (The Bottoms),Kansas,US-KS,39.066393,-95.692202,1855,1850-1859,No,No,N/A,Ritchie Historic House  Musuem Website   ,,
Singleton Colony,Kansas,US-KS,37.02389,-94.73583,1877,1870-1879,No,No,N/A,"Entz, Gary R. ""Image and Reality on the Kansas Prairie: 'Pap' Singleton's Cherokee County Colony."" Kansas History 19 (1996): 124–39.","http://plainshumanities.unl.edu/encyclopedia/doc/egp.afam.039  Singleton Testimony, 1880   https://www.encyclopedia.com/african-american-focus/news-wires-white-papers-and-books/singleton-benjamin ",
Summit Township,Kansas,US-KS,38.129893,-96.987026,1879,1870-1879,No,No,N/A,"Kansas Historical Society. ""Historic Preservation in Kansas: Black Historic Sites."" 1977: 20-21. https://www.kshs.org/publicat/books/pdfs/black_historic_sites.pdf  ",https://www.nps.gov/nico/learn/management/upload/nicodemus_final_singlesided.pdf ,
Tennessee Town,Kansas,US-KS,39.058673,-95.692442,1897,1890-1899,No,No,N/A,"McConnell, Judith L. ""Kindergarten in Kansas: A View from the Beginning."" Journal of Education 177, no. 3 (1995): 9-22.",https://www.kshs.org/kansapedia/mudtown-doll/15851  https://tenntownnia.weebly.com/history.html   1898 Census documents  ,
Wabaunsee Colony,Kansas,US-KS,39.13917,-96.35222,1897,1890-1899,No,No,N/A,"Blake, Ella Source: https://core.ac.uk/download/pdf/14342729.pdf ",   https://www.kshs.org/kansapedia/exodusters/17162 https://mountmitchellprairie.org/underground-railroad/ https://www.kshs.org/publicat/books/pdfs/black_historic_sites.pdf ,African American woman wearing wedding ring tintype
Estill's Station,Kentucky,US-KY,37.712888,-84.231771,1780,1780-1789,No,No,N/A,https://www.richmondregister.com/news/black-history-month-monk-estill-a-man-of-bravery-and-selflessness/article_9a1dd2e0-1ebc-5188-bfab-ee40992c28d1.html,Article on Monk Estill   ,
Hall,Kentucky,US-KY,37.299276,-82.770162,1861-1865,1860-1869,No,No,N/A,https://kentuckyoralhistory.org/ark:/16417/xt7w6m33528c,,
Corbin,Kentucky,US-KY,36.941667,-84.095556,N/A,1900-1919,No,No,N/A,https://nkaa.uky.edu/nkaa/items/show/1215,,
Berrytown,Kentucky,US-KY,38.266977,-85.525273,1874,1870-1879,Yes,No,N/A,"https://www.whas11.com/article/news/local/black-history/chickasaw-park-berrytown-moments-that-matter/417-c899a940-ea43-4751-a509-166485b8cf12  Berrytown Marker, Kentucky History  Courier Journal article  ",,
Griffeytown,Kentucky,US-KY,38.250752,-85.543829,1879,1870-1879,Yes,No,N/A,"Explore Ky History, Griffeytown  https://www.hmdb.org/m.asp?m=161783 (Marker)",,
Petersburg (Newburg),Kentucky,US-KY,38.169119,-85.685377,1851,1850-1859,Yes,No,N/A,Old Marker (no longer standing)  Oral history with local historian  https://filsonhistorical.org/archive/news_v4n2_AAcomm.html ,,
Harrods Creek,Kentucky,US-KY,38.3265,-85.6322,1919,1910-1919,Yes,Yes,2003,"Merriwether House    Historic Registration Form, NPS  https://nkaa.uky.edu/nkaa/items/show/1511   Courier article on the area  ",,
Covington,Kentucky,US-KY,39.0891658,-84.508944,1860s,1860-1869,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.","Lucas, Marion B., ""A History of Blacks in Kentucky: From Slavery to Segregation, 1760-1891"" (2003).
African American Studies. 27.
https://uknowledge.uky.edu/upk_african_american_studies/27",https://www.cincinnatimagazine.com/citywiseblog/lost-city-underground-railroad/
Fazendeville,Louisiana,US-LA,29.9308083,-90.0209265,1857,1850-1859,No,No,N/A,"Jackson, J. (2006). Declaration of Taking Twice: The Fazendeville Community of the Lower Ninth Ward. American Anthropologist, 108(4), new series, 765-780. Retrieved May 20, 2021, from http://www.jstor.org/stable/4496518",https://64parishes.org/defeat-fazendeville; https://wgno.com/news-with-a-twist/the-story-of-fazendeville-an-african-american-town-in-the-middle-of-a-battlefield/,Tweet by @brigeecm 3/26/2021: https://twitter.com/brigeecm/status/1375466894594019331?s=20
Bobtown,Louisiana,US-LA,29.47389,-90.70083,1898,1890-1899,Yes,No,N/A,The African American Experience in Louisiana (115-116)  https://mytpl.org/project/bobtown-in-terrebonne-parish/  ,,
Grambling,Louisiana,US-LA,32.527427,-92.713987,1875,1870-1879,Yes,Yes,1953,"Wilson, Livy T. ""HOUSING DEVELOPMENTS IN GRAMBLING, LOUISIANA, A SOUTHERN NEGRO TOWN, 1940 TO 1960."" Negro History Bulletin 26, no. 2 (1962): 99-102.","African American Heritage Atlas, Grambling  City of Grambling website  Wikipedia list of Grambling Historic Sites  ",
Mossville,Louisiana,US-LA,30.247495,-93.309577,1790,1790-1799,Yes,No,N/A,"Shearman, Bill. ""A Forgotten Community: The History of Mossville."" Wise Publications Printing. 2017. https://imperialcalcasieumuseum.org/wp-content/uploads/2015/11/A-Forgotten-Community-for-WEBSITE.pdf ",Interview with Mossville resident on pollution   https://www.reimaginerpe.org/21-2/johnson   https://www.c-span.org/video/?451131-1/mossville-history-project ,
St. Maurice,Louisiana,US-LA,31.75972,-92.95917,1826,1820-1829,Yes,No,N/A,"http://files.usgwarchives.net/la/winn/history/towns/mau370.txt   Prothro Mansion   On St. Maurice the historic figure  https://web.archive.org/web/20160529113648/https://focus.nps.gov/AssetDetail/NRIS/79001104  Louisiana Digital Library, St. Maurice  ",,
Treme,Louisiana,US-LA,29.967989,-90.073509,1810,1810-1819,Yes,No,N/A,"Lacho, Kenneth J., Tammy Parker, and Kristie Carter. ""Economic development initiatives of African-American churches in Treme: The oldest African-American neighborhood in the United States."" Journal of Economics and Economic Education Research 6, no. 2 (2005): 83. ","Historical Marker  ""Faubourg Tremé: The Fascinating and Tragic Story of America’s Oldest Black Neighborhood"" (2015).  New Orleans African American Museum website   https://www.crt.state.la.us/Assets/OCD/hp/nationalregister/historic_contexts/The_African_American_Experience_in_Louisiana.pdf   Treme Oral History Project  NOLA Historic District  ","Faubourg Tremé: The Untold Story of Black New Orleans. 2008, (documentary). Directed by Dawn Logsdon and written by Lolis Eric Elie."
Washington,Louisiana,US-LA,30.61639,-92.05694,1720,1720-1729,Yes,Yes,1835,"Louisiana Digital Library, Washington  Town of Washington website   Arlington Plantation House Registery ",,
Lower Ninth Ward,Louisiana,US-LA,29.970278,-90.012778,1852,1800-1850,Yes,No,N/A,"Landphair, Juliette. ""The Forgotten People of New Orleans”: Community, Vulnerability, and the Lower Ninth Ward. Journal of American History, 94 (Dec. 2007), 837–45",http://archive.oah.org/special-issues/katrina/Landphair.html  ,
Will's Island (Bailey Island),Maine,US-ME,43.736706,-69.99408,1735,1730-1739,No,No,N/A,Harpswell Historical Society (Winter 2015)   http://www.harpswellhistorical.org/ ,,"Nancy Orr Johnson Jensen, ""Bailey Island: Memories, Pictures & Lore."" Mayhaven Publishing. (2003)."
Harbor Island,Maine,US-ME,43.768999,-69.870637,1794,1790-1799,Unsure,No,N/A,Maine State Museum   Black Heritage Trail   ,,
Malaga Island,Maine,US-ME,43.781548,-69.874844,1860s,1860-1869,No,No,N/A,"Pedersen, Margo. ""Malaga Island: How the State of Maine Devastated a Resilient Island Community in the Name of the Greater Good."" History Teacher 53, no. 1 (2019): 137-169.",Malaga History  Malaga Island: How the State of Maine Devastated a Resilient Island Community in the Name of the Greater Good   Maine State Museum    ,
Bangor,Maine,US-ME,44.802074,-68.771076,1791,1790-1799,No,Yes,1791,"Hillebrand, Justus. ""Making it Work Before the Movement: African-American Community and Resistance in 1940s and 1950s Portland, Maine."" Maine History 49, no. 1 (2015): 39-76.","Blacks in Maine, Maine Memory ","Lee, Maureen. Black Bangor: African Americans in a Maine Community, 1880-1950. University Press of New England. Print. (2005)."
Brownsville,Maryland,US-MD,39.6601627,-78.9332338,1866,1860-1869,Yes,No,N/A,"Bowman, L. G. (2011). Being black in Brownsville: Echoes of a forgotten Frostburg. Frostburg, Md.",https://www.thebrownsvilleproject.com/; https://www.downtownfrostburg.com/remembering-brownsville/,https://www.frostburg.edu/programs/african-american-studies-program/african-american-life-and-culture-in-western-md.php
Glenarden,Maryland,US-MD,38.93013,-76.85968,1919,1910-1919,Yes,Yes,1939,"Rose, Harold M. ""The all-Negro town: Its evolution and function."" Geographical Review 55, no. 3 (1965): 362-381.","https://cityofglenarden.org/our-community/history-of-glenarden/  Glenarden Community Description  Black History Exhibit Booklet, M-NCPPC  ",
Highland Beach,Maryland,US-MD,38.930387,-76.466513,1893,1890-1899,Yes,Yes,1922,"Bush, Gregory. ""The Land Was Ours: African American Beaches from Jim Crow to the Sunbelt South."" (2013): 116-118.","Town of Highland Beach website   Black Past, Highland Beach  Soul of America, Highland Beach  ","Nelson, Jack E.; Raymond L. Langston; Margo Dean Pinson. Highland Beach on the Chesapeake Bay: Maryland's First African American Incorporated Town. Print. The Donning Company Publishers: 2008  |  Simon, Sandy. The Amazing Story of Highland Beach. Print. The Cedars Group: 2003.
"
Hill Settlement (Hill Community),Maryland,US-MD,38.774265,-76.076296,1788,1780-1789,Yes,Yes,N/A,"Jenkins, Tracy H. ""Sustaining Tangible Neighborhood Change through African American Archaeology in Easton, Maryland: Evaluating The Hill Community Project."" International Journal of Historical Archaeology (2021): 1-29.","Huffington Post article, Hill Community   https://thehillcommunityproject.org/ National Trust for Historic Preservation   ",Youtube video of Hill    
North Brentwood,Maryland,US-MD,38.945683,-76.951534,1887,1880-1889,Yes,Yes,1924,"Michael, Courtney Elizabeth. ""A Tradition of Struggle: Preserving Sites of Significance to African American History in Prince George's County, Maryland, 1969-2007."" PhD diss., 2007.",https://www.northbrentwood.com/aboutus/townhistory.html   North Brentwood Historic District  Community Summary Sheet   ,"An oral history collection called ""Minding Our Own Business: An Oral History of North Brentwood’s Entrepreneurs"" was completed by the North Brentwood Historical Society in 2004 (MD Historical Trust). PGAAMCC Museum website   "
Sugarland,Maryland,US-MD,39.099617,-77.383115,1871,1870-1879,Unsure,No,N/A,"http://www.sugarlandproject.org/index.html   Montgomery County History Digital Repository, Sugarland's Story  ",,I Have Started for Canaan: The Story of an African American Town Named Sugarland. The Sugarland Ethno-History Project.
Unionville,Maryland,US-MD,38.813344,-76.140002,1857,1850-1859,Yes,No,N/A,Smithsonian article  Photographic Museum of Humanity    Historical Marker   Archaeology Magazine article   ,,"""Historic Eastern Shore community exemplifies perseverance"" Youtube video  "
Lakeland,Maryland,US-MD,38.989019,-76.928683,1903,1900-1909,Yes,Yes,1945,"Dolan, Fiona. ""Pieces of Lakeland: Using Augmented Reality Technology to Share History."" (2021).  ","https://lakelandchp.com/history/   MNCPPC, Lakeland   Photos and Tour  ","Lakeland: African Americans in College Park. The Lakeland Community Heritage Project, Inc. Arcadia Publishing. 2019. "
Eagle Harbor,Maryland,US-MD,38.566667,-76.686944,1925,1920-1929,Yes,Yes,1929,"http://www.townofeagleharborincmd.org/  PGCMLS, Eagle Harbor    Historic Preservation Studio Workshop
School of Architecture, Planning, and Preservation
The University of Maryland (2019)   ",,
Bowie ,Maryland,US-MD,38.964722,-76.744444,1880,1880-1889,Yes,Yes,N/A,https://www.cityofbowie.org/   http://www.mncppcapps.org/planning/publications/pdfs/77/History%20of%20Prince%20George%27s%20County.pdf ,,
San Domingo,Maryland,US-MD,38.520417,-75.7748762,1810s,1810-1819,Yes,No,N/A,https://www.washingtonpost.com/local/free-blacks-san-domingo-eastern-shore/2021/05/24/86ed2760-bca5-11eb-9c90-731aff7d9a0d_story.html,,https://www.washingtonpost.com/local/sharpton-colored-school-in-rural-maryland-reopens-as-a-community-center/2014/09/01/3e88617e-2dff-11e4-bb9b-997ae96fad33_story.html
Parting Ways,Massachusetts,US-MA,41.94583,-70.73333,1792,1790-1799,No,No,N/A,"Hutchins-Keim, Karen A. ""The Plurality of Parting Ways: Landscapes of Dependence and Independence and the Making of a Free African American Community in Massachusetts."" Historical Archaeology 52, no. 1 (2018): 85-99.  |   Hutchins, Karen Anne. ""In pursuit of full freedom: an archaeological and historical study of the free African-American community at parting ways, Massachusetts, 1779-1900."" PhD diss., Boston University, 2013.","Early African-American Settlement at “Parting Ways,” Plymouth   http://www.histarch.illinois.edu/plymouth/parting.html   https://partingwaysplymouth.org/ ",
Idlewild,Michigan,US-MI,43.88694,-85.8025,1912,1910-1919,No,No,N/A,"Black Past, Idlewild  Idlewood Historic & Cultural Center     NRHP, Idlewood Historic District  http://www.iaacc.com/  https://savingplaces.org/stories/whats-next-for-idlewild-michigans-black-eden ",,
Ramptown,Michigan,US-MI,41.91805,-85.934786,1830 or 40s,1830-1840,No,No,N/A,"Nassaney, Michael S. ""Implementing Community Service Learning through Archaeological Practice."" Michigan Journal of Community Service Learning 10, no. 3 (2004): 89-99.",https://kalamazoomuseum.org/exhibits/special_exhibits/ramptown/5%20The%20Ramptown%20Community.pdf   https://www.urscc.org/ramptown.html  WMU article   ,
Davis Bend (Davis Island),Mississippi,US-MS,32.193306,-91.077999,1865,1860-1869,No,No,N/A,"Glymph, Thavolia. ""The second middle passage: The transition from slavery to freedom at Davis Bend, Mississippi."" PhD diss., Purdue University, 1994.  |   Ross, Steven Joseph. ""Freed Soil, Freed Labor, Freed Men: John Eaton and the Davis Bend Experiment."" The Journal of Southern History 44, no. 2 (1978): 213-232.","Black Past, Davis Bend   https://www.thirteen.org/wnet/jimcrow/stories_people_mont.html   MS Encyclopedia, Davis Bend Plantation  ","Hermann, Janet Sharp. The Pursuit of a Dream. Banner Books. (1999)"
Expose,Mississippi,US-MS,31.32306,-89.86333,N/A,1877-1915,No,No,N/A,"Hamilton, Kenneth Marvin. Black Towns and Profit: Promotion and Development in the Trans-Appalachian West, 1877-1915. University of Illinois Press, 1991 (pg 153).",https://www.encyclopedia.com/history/encyclopedias-almanacs-transcripts-and-maps/black-towns ,
Mound Bayou,Mississippi,US-MS,33.88056,-90.72806,1887,1880-1889,Yes,Yes,1898,"Meier, August. ""Booker T. Washington and the Town of Mound Bayou."" Phylon (1940-1956) 15, no. 4 (1954): 396-401.   |  Love, Ronald. ""Community in transition: a study of Mound Bayou, Mississippi."" PhD diss., Boston University Graduate School, 1982.","MS Encyclopedia, Mound Bayou  Black Past, Mound Bayou  NPR article ; Brown, D. L. (2015 Mr 27). All-Black towns across America: Life was hard but full of promise. Washington Post. https://www.washingtonpost.com/lifestyle/style/a-list-of-well-known-black-towns/2015/03/27/9f21ca42-cdc4-11e4-a2a7-9517a3a70506_story.html",
Renova,Mississippi,US-MS,33.780179,-90.722699,1920,1920-1929,Yes,Yes,1978,"Grim, V. (1998). African American Landlords in the Rural South, 1870-1950: A Profile. Agricultural History, 72(2), 399–416. http://www.jstor.org/stable/3744389",,
Winstonville,Mississippi,US-MS,33.910152,-90.751637,1920,1920-1929,Yes,No,N/A,http://www.city-data.com/city/Winstonville-Mississippi.html ,,
